movie_id,title,component_score
33196,Tidal Wave,43.53972914953311
84175,Beasts of the Southern Wild,43.48179696381296
13811,Knowing,43.44360775757159
14623,Thunderbirds,43.43977638144062
409,The English Patient,43.43529113932752
588,Silent Hill,43.405842520122356
23398,Alvin and the Chipmunks: The Squeakquel,43.402745364608826
1895,Star Wars: Episode III - Revenge of the Sith,43.34387091369768
9208,Broken Arrow,43.34315009648357
9691,Assassins,43.33630044906872
54518,Justin Bieber: Never Say Never,43.2792156400523
605,The Matrix Revolutions,43.27716968334296
43884,The Charge of the Light Brigade,43.22809505615353
49022,Something Borrowed,43.210257663020336
9104,Buffalo Soldiers,43.12063712777376
2280,Big,43.11369569126934
11042,The Barbarian Invasions,43.09453038337263
597,Titanic,43.094359639550284
1865,Pirates of the Caribbean: On Stranger Tides,43.089053690572136
8643,The Exorcism of Emily Rose,43.08212452364345
150540,Inside Out,43.07265626696028
1368,First Blood,43.06568805436697
10559,Frequency,43.05547127018535
9268,Eraser,43.04367587982465
291805,Now You See Me 2,43.0175982937467
9737,Bad Boys,43.0102535058584
95,Armageddon,43.007138034748564
9920,Ultraviolet,42.998997027223375
333355,Star Wars: Clone Wars: Volume 1,42.984686337857184
595,To Kill a Mockingbird,42.961207087982345
9016,Treasure Planet,42.960586126559924
19933,The Brave Little Toaster,42.953437983450364
644,A.I. Artificial Intelligence,42.927599025121005
2114,Final Fantasy: The Spirits Within,42.925459022705944
35791,Resident Evil: Afterlife,42.92478992725648
1562,28 Weeks Later,42.88439274775926
228165,The SpongeBob Movie: Sponge Out of Water,42.881403036336884
675,Harry Potter and the Order of the Phoenix,42.8688694993635
657,From Russia with Love,42.86316351934259
2320,Executive Decision,42.85876248402437
1930,The Amazing Spider-Man,42.85239753150634
11676,Nothing to Lose,42.831221713719934
9679,Gone in Sixty Seconds,42.82447030763827
18,The Fifth Element,42.811796753786766
613,Downfall,42.7943797203035
9022,All the Boys Love Mandy Lane,42.794223798690886
607,Men in Black,42.783372258919776
208763,Forbidden Kingdom,42.77505157508086
956,Mission: Impossible III,42.770783169008
2312,In the Name of the King: A Dungeon Siege Tale,42.74057237345046
464,As It Is in Heaven,42.72492494883007
14442,Ella Enchanted,42.71394435279957
1642,The Net,42.708781840222734
