movie_id,title,component_score
767,Harry Potter and the Half-Blood Prince,50.805426657723174
675,Harry Potter and the Order of the Phoenix,50.7701375506298
1892,Return of the Jedi,50.739060274193605
77,Memento,50.67393904067553
274,The Silence of the Lambs,50.60755666521969
102899,Ant-Man,50.57039950691215
264660,Ex Machina,50.506726969548744
694,The Shining,50.493561486564545
1422,The Departed,50.41437904979246
137113,Edge of Tomorrow,50.41267371322401
510,One Flew Over the Cuckoo's Nest,50.28073626562648
37165,The Truman Show,50.18776715441425
752,V for Vendetta,50.12336474727908
75656,Now You See Me,50.09452307737854
1771,Captain America: The First Avenger,50.074905923365044
57158,The Hobbit: The Desolation of Smaug,50.024719334484416
9806,The Incredibles,50.01659894890692
78373,"Dancer, Texas Pop. 81",50.0107852021588
89861,Stiff Upper Lips,50.01032454819361
361505,Me You and Five Bucks,50.0065125451277
40963,Little Big Top,50.0042852461096
280,Terminator 2: Judgment Day,49.95355836374883
131631,The Hunger Games: Mockingjay - Part 1,49.892134821094714
87827,Life of Pi,49.81859639524811
58,Pirates of the Caribbean: Dead Man's Chest,49.77559471664281
198663,The Maze Runner,49.72776831017477
10138,Iron Man 2,49.70678802092053
76203,12 Years a Slave,49.705902001745066
152601,Her,49.66381997501254
500,Reservoir Dogs,49.59372720406648
329,Jurassic Park,49.516485046014196
10193,Toy Story 3,49.39877291915406
78,Blade Runner,49.303313680324855
769,GoodFellas,49.27772292308603
73,American History X,49.25982697833457
10195,Thor,49.20997320209753
629,The Usual Suspects,49.06106153775888
194662,Birdman,48.94456994754632
1930,The Amazing Spider-Man,48.920087332200275
10528,Sherlock Holmes,48.89959437543272
273248,The Hateful Eight,48.8933665982328
228150,Fury,48.79637204450379
38,Eternal Sunshine of the Spotless Mind,48.75698949569335
190859,American Sniper,48.74858466307437
122917,The Hobbit: The Battle of the Five Armies,48.6470397635279
49521,Man of Steel,48.642610172655345
14,American Beauty,48.57473888434466
13475,Star Trek,48.537573702377365
2062,Ratatouille,48.53117834740503
640,Catch Me If You Can,48.46782339988147
85,Raiders of the Lost Ark,48.46440366203372
54138,Star Trek Into Darkness,48.42619176956073
10191,How to Train Your Dragon,48.25762961501588
146233,Prisoners,48.251372917956274
44214,Black Swan,48.24919349990339
93456,Despicable Me 2,48.242381235158014
539,Psycho,48.18693522546707
111,Scarface,48.03242313500957
264644,Room,48.024556691070366
62,2001: A Space Odyssey,48.00914428775792
168259,Furious 7,47.94718843282847
194,Am茅lie,47.90468333006045
222935,The Fault in Our Stars,47.89876700344317
297761,Suicide Squad,47.83084517339941
393,Kill Bill: Vol. 2,47.768885405512314
207,Dead Poets Society,47.66774305192319
61791,Rise of the Planet of the Apes,47.64507026303978
562,Die Hard,47.62400995902251
266856,The Theory of Everything,47.62047422555118
429,"The Good, the Bad and the Ugly",47.56015484334365
72190,World War Z,47.4984139768136
285,Pirates of the Caribbean: At World's End,47.49367454402791
18,The Fifth Element,47.47697900797214
242582,Nightcrawler,47.4413128751324
141,Donnie Darko,47.428698228467155
1271,300,47.39020974792008
8681,Taken,47.378413559330895
557,Spider-Man,47.3701230525772
209112,Batman v Superman: Dawn of Justice,47.33779260425612
102651,Maleficent,47.334821183147206
218,The Terminator,47.20090435555169
197,Braveheart,47.16450058187254
152532,Dallas Buyers Club,47.1538686778479
679,Aliens,47.069941824495636
82702,How to Train Your Dragon 2,47.06482461847961
745,The Sixth Sense,47.034601621788845
240832,Lucy,46.955216139946856
36557,Casino Royale,46.941140041622006
82690,Wreck-It Ralph,46.893451771640486
13223,Gran Torino,46.89123420288959
389,12 Angry Men,46.886755644570925
