rank,movie_id,title,content_score,content_normalized,rating_score,rating_normalized,business_score,business_normalized,time_score,time_normalized,final_score
2117,10327,"Legally Blonde 2: Red, White & Blonde",33.58541470268888,0.5882520958551595,26.42157403999797,0.32720371710125284,55.21,0.5806689103912495,47.5,0.9407803525450584,57.44
2118,4234,Scream 3,32.27817988851003,0.5630027398462424,30.67645240419459,0.3798959607378829,51.63,0.5430164072360119,49.0,0.9704892057833234,57.44
2119,285783,The Walk,30.135823298981872,0.5216229329130672,37.79828381611888,0.4680924363536964,50.19,0.5278712663020614,48.16,0.9538522479698949,57.43
2120,257344,Pixels,28.400501765907187,0.4881050440813917,36.69939132628774,0.45448379567153707,56.33,0.5924484644509886,49.46,0.9795999207763914,57.43
2121,25166,Drowning Mona,38.35798236811803,0.6804346622571742,27.16282919537469,0.3363833913247704,36.31,0.38188893563315107,47.67,0.9441473559120618,57.43
2122,7214,Coach Carter,30.00471480733871,0.5190905608056353,38.11274958345698,0.47198676785031196,53.66,0.564366848969289,45.67,0.9045355515943752,57.42
2123,68727,Trance,34.06246094842993,0.5974662862674608,35.471838349302,0.4392818286577477,38.51,0.40502734539335294,48.59,0.9623687858981977,57.42
2124,28005,Kama Sutra - A Tale of Love,37.295206057969054,0.6599070438662494,28.6663028064894,0.3550023484457828,36.31,0.38188893563315107,48.83,0.96712220241632,57.42
2125,228194,The Hundred-Foot Journey,27.76038491271079,0.4757411304689653,38.24545766654091,0.4736302194481883,58.1,0.6110643668489694,48.18,0.9542483660130718,57.41
2126,10313,The Men Who Stare at Goats,33.83903549985578,0.593150803975135,31.591323985749582,0.3912256938454536,46.97,0.49400504838031134,47.18,0.9344424638542285,57.4
2127,48231,A Dangerous Method,34.36863425415099,0.603380050736344,32.865414438569154,0.4070039791003246,41.68,0.4383676903660076,48.21,0.9548425430778372,57.4
2128,109428,Evil Dead,29.96002255443954,0.5182273259896314,36.53334546615698,0.4524274903748954,54.24,0.5704669751787969,46.93,0.9294909883145177,57.39
2129,17917,Oliver!,31.536423485268216,0.5486756493387033,35.41441992897699,0.4385707612348915,55.88,0.5877156079091292,42.83,0.84828678946326,57.39
2130,18900,In Cold Blood,30.040438544009778,0.5197805679377842,37.35754010672142,0.46263428386870337,54.02,0.5681531342027767,46.0,0.9110714993067934,57.39
2131,13460,Doomsday,36.50694642354101,0.6446817393369826,30.28386019075988,0.3750341144547515,35.48,0.37315944467816575,49.67,0.9837591602297484,57.38
2132,9428,The Royal Tenenbaums,28.76741770797444,0.49519205794157783,40.35660530785842,0.4997745874764864,48.6,0.5111485065208246,50.0,0.9902951079421667,57.38
2133,2116,Out of Time,33.11134457188824,0.5790953893660515,31.49256736815005,0.3900026958394303,46.85,0.49274295330248213,49.17,0.9738562091503268,57.38
2134,59962,This Means War,32.43030656632211,0.5659410800777515,33.42081118960881,0.41388199027146183,46.9,0.4932688262515776,48.89,0.9683105565458506,57.37
2135,41402,Let Me In,33.89495434217645,0.5942308813583616,35.34845013924837,0.43775379399505504,38.47,0.40460664703407656,49.03,0.9710833828480887,57.37
2136,9889,Shallow Hal,30.371560102302563,0.5261762101107733,30.77661890226246,0.38113641864728703,57.6,0.6058056373580143,49.33,0.9770251534957417,57.35
2137,323675,Ride Along 2,30.23704141228985,0.5235779697203369,32.28489056067041,0.39981479459424824,56.26,0.5917122423222549,49.04,0.9712814418696771,57.34
2138,49524,R.I.P.D.,35.06264908859601,0.6167850086217255,30.64976255394291,0.37956543469889653,42.73,0.449411022297013,47.77,0.9461279461279462,57.34
2139,122081,Spring Breakers,32.626355724371656,0.569727786898248,29.812368260604277,0.3691951772325931,53.36,0.5612116112747161,47.42,0.9391958803723509,57.33
2140,8920,Garfield,32.54951475105113,0.5682435967050267,28.192398628622893,0.34913353804436636,59.43,0.6250525872949095,45.0,0.8912655971479501,57.33
2141,37137,The Naked Gun 2陆: The Smell of Fear,30.12037592339999,0.5213245654879957,34.8154289326289,0.4311528806718873,57.42,0.6039124947412705,45.83,0.90770449593979,57.33
2142,24621,Chasing Papi,28.782013618769582,0.49547397924901515,31.56045300623937,0.39084338886880815,68.28,0.7181320992848128,45.0,0.8912655971479501,57.32
2143,12277,Undercover Brother,35.07342169722698,0.6169930825098425,27.883346209818495,0.34530624523967396,49.16,0.5170382835506941,46.0,0.9110714993067934,57.32
2144,5038,Vicky Cristina Barcelona,29.270172062773543,0.5049028027531975,36.47339387403647,0.4516850522537496,55.38,0.5824568784181742,47.68,0.9443454149336502,57.3
2145,43839,Alexander's Ragtime Band,35.99397615650563,0.6347736732773271,24.02414392377341,0.2975140383435968,46.59,0.4900084139671856,49.33,0.9770251534957417,57.28
2146,43074,Ghostbusters,31.05994159026325,0.539472359410764,32.68532566529215,0.40477376692843664,51.73,0.5440681531342028,49.48,0.9799960388195681,57.28
2147,1819,"You, Me and Dupree",32.09767552018217,0.5595162820135402,28.312739839759654,0.3506238387942311,54.08,0.5687841817416912,49.67,0.9837591602297484,57.28
2148,81836,To Rome with Love,32.38624778599252,0.5650900808404345,29.534034756447845,0.36574830623936866,50.89,0.5352334875893984,49.89,0.988116458704694,57.27
2149,55787,Water for Elephants,29.158257496901008,0.5027411630189665,35.73804862274503,0.4425785660462636,55.76,0.5864535128313,48.37,0.958011487423252,57.27
2150,391,A Fistful of Dollars,32.651112070866915,0.5702059579195204,40.81187262138485,0.5054125996946471,78.11,0.8215187210769878,18.17,0.35987324222618344,57.27
2151,22267,Ride with the Devil,38.204036379267805,0.6774611818721175,33.23289456558648,0.41155483830874584,30.48,0.3205721497686159,45.33,0.8978015448603683,57.27
2152,22907,Takers,33.536231054757955,0.5873021093470315,31.281457767158106,0.38738832297671755,44.56,0.4686579722339083,49.53,0.9809863339275103,57.26
2153,9849,My Favorite Martian,37.104106108004885,0.6562159314374831,25.830003517458845,0.3198777313893756,42.58,0.44783340344972655,47.33,0.937413349178055,57.26
2154,68818,Blackthorn,33.04032301494127,0.5777236017145821,33.27855535449672,0.41212029969399827,45.49,0.4784392090870846,48.04,0.9514755397108338,57.25
2155,17113,The Ballad of Jack and Rose,37.45180184794204,0.6629317053942622,32.67646153303635,0.404663993868793,27.63,0.29059739167017246,49.84,0.9871261635967519,57.25
2156,307081,Southpaw,28.6113375090206,0.4921773550996835,42.50221501337301,0.5263457323306917,48.05,0.505363904080774,48.11,0.9528619528619529,57.25
2157,18937,Quest for Camelot,33.04431829962241,0.5778007709914227,35.28131444614285,0.4369223882543887,45.29,0.47633571729070256,46.0,0.9110714993067934,57.23
